,preprocess_texts
3054,این ک من چ توییت می‌زنم ب تو ربطی ندارهمیدونی خوبیش چیهوقتی کوت میکنین بع
3055,دهنتونو سفت ببندینجیغ نزنینااروممی نفسسنفسسارومم
3056,۷۳ سال پیش زمین نکبت‌ترین روز رو به خودش دید روزی که خبیث‌ترین خونخوار‌ترین و سفاک‌ترین رژیم موجودیت جعلی خودش رو اعلام کرد
3057,برادرم اهل این حرفا نیست خیلیم ماه و سربراهه
3058,هر دفعه که رفرش می‌کنم می‌بینم یکی رو منبرهحتی الان خودمم رو منبرم برای اوناییکه رو منبرنشمام بیاین رو منبر خیلی کیف میدهاین
3059,ایران ایران بی‌قانون تا دلت بخواد موج میزنه
3060,پارههمن که کلا آلارم می‌زارم که مادر پدرم بیدارم کننمن حتی صداش رو هم نمی‌شنوم
3061,شما کشورت رو از اخوندها پس گرفتی
3062,ارزا شدی
3063,نامه‌ای به خداآنچه از من تو گرفتی همه‌ی جانم بود
3064,دلمان از این عکسا خواست
3065,استقلال گرونترین تیم تو ترنسفر مارکت هست ولی دلیل نمیشه بیشترین هزینه رو هم کرده باشه ک
3066,ابراهیم رئیسی با هدف «ایجاد تحول در مدیریت اجرایی کشور و مبارزه بی‌امان با فقر و فساد تحقیر و تبعیض» آمده‌ام رئیسی متشک
3067,هر خری بیاید احمدی‌نژاد نیایددیگر سال ۹۶ نیست مردم قبول نخواهند کردما حذف احمدی‌نژاد را قبول نخواهیم کرد یا احمدی یا
3068,یه روز منم زندگی می‌کنم
3069,چه قدر حیف شد واقعا
3070,صبا کردافشاری در حول‌وحوش ایام تولدش در این وضعیت قرار گرفت و به قرچک منتقل شد sabahungesike
3071,یکی از دلایل عمده بی عملی و بی تفاوتی حاکم بر دستگاه اداری کشور این است که مسئولین دولت درکی از مشکلات مردم ندارند با
3072,سبقت در لغت به معنای پیشی گرفتن در راه‌کار فکر و علم است و سید ابراهیم رئیسی با کارنامه‌ای پربار و برنامه‌ای هو
3073,هنوزم میترسه و خیلی داغونه بیانش
3074,دعوت شدم برای تزریق آزمایشی واکسن کرونای انستیتو پاستورامیدوارم ایمنی لازم در برابر ویروس کرونا ایجاد کنه هر چه
3075,کنارم گذاشتی که تلخم کنیشرابی شدم نابحسرت بکش
3076,بیشتر نزدیک به همه‌ی تپ‌اخترها تنها چند بار در ثانیه به گرد خود میچرخندتپ‌اختر میلی‌ثانیه‌ای تپ‌اختریست که صدها
3077,شرکت صدرا در سال ۱۳۷۶ موفق به اخذ گواهینامه ایزو ۹۰۰۱ در زمینه‌های طراحی ساخت و نصب تاسیسات فرا ساحلی نفت و گ
3078,حقیقتا حضور سعید جلیلی و سعید محمد در مناظرات انتخابات ۱۴۰۰ کنار آقای رئیسی لاریجانی را فیتیله پیچ می‌کند
3079,آخوند جلاد رئیسی آماده می‌شود که برای نمایش انتخابات ریاست جمهوری آخوندی نام‌نویسی کندلگد پاسدار لاریجانی که امروز نام ن
3080,هرچقدر بیشتر ماله می‌کشد بوی تعفن اصلاحاتی اش بیشتر بیرون می‌زند
3081,دیدین که اومد
3082,استفاده‌ای که علی لاریجانی در طول حیات سیاسی خودش از مراجع تقلید کرد مذهب تشیع ازشون نکرد
3083,کانال تلگرام
3084,به یاری حق در مقابل ظلم ایستاده‌ایم sabahungesike
3085,گویا امسال مشاکرت حداکثری از سمت کاندیداها بوده امیداست از سمت مردم هم شاهد مشارکت حداکثری باشیم
3086,فکر می‌کردین که توی کشور جایی باشه که کشتی تا ظرفیت ۷۰ هزارتن بشه پهلو بگیره بندر پتروشیمی پارس بندریه که
3087,دختر ۲۳ ساله هم همانند شما و فرزندانتان حق زندگی دارد آرزو دارد آرزو دارد آرزو دارد sabahungesike
3088,سید ابراهیم رئیسی کارمردم نباید عقب بیوفتد☝️اگر لازم باشد جمعه‌ها هم باید در محل کار حاضر شویم رئیسی بیا
3089,سرباز ایران آمد آقا محسن ایران محسن رضایی اقدام و تحول
3090,ولی با این جر خوردمماگه هستی خودتو نشون بده
3091,من اورتینکم به مرحله‌ای رسیده که حس می‌کنم اگه از یه ایموجی زیاد استفاده کنم طرف فک میکنه حوصلشو ندارم یا بی‌احترامی می‌کنم
3092,کشور به کسی نیاز داره که اولا از نظر مالی سالم و ثانیا بابرنامه و کاردان باشه آقا محسن ایران محسن رضایی
3093,صبا یکی از ملیون‌ها شیرزن ایرانی sabahungesike
3094,ولی وقتی فالوورای توییتر اکسو بیشتر از اس امهوقتی معروف‌ترین گروه اس‌ام اکسوعهوقتی اس‌ام اینهمه از اکسو درامد د
3095,اون که مهیاوه رو کشف کرد پس چی
3096,هی گایز منو فالو کنید ۵۰ تا بشم
3097,دقیقا کلاس سواد مالی هم همینه یسریا نمیدونم واقعا چرا همچین کارایی میکننپیاماشونو سیو کردم هر وقت
3098,کاش شرایط مهیا بود می‌رفتم قایق سهراب رو سوراخ می‌کردم
3099,با مردی ازدواج کنید که وقتی با هم به مشکلی برمی‌خورید بره سمت خدا نه زن‌های دیگه
3100,نام‌نویسی سید ابراهیم رئیسی برای انتخابات ریاست جمهوریرئیسی خوش آمدی رئیسی متشکریم
3101,اینا رییسی نیاد به حول میافتن چون میدونن بعد اینکه از کار بیکار شدن باید جواب پس بدن محا
3102,لاریجانی میخواد جای روحانی بشینه مثل اینه که پراید بره کنار جاش پراید پلاس بیاد روحانی پلاس روحانی دوم
3103,چتری چقدر بهت میاد گفتی چی شد
3104,ساغول کیشی
3105,اگه ۴ - ۵ سال پیش بود احتمالا الان رو ابرا بودم و بهترین دوران زندگیم بود اما خب دیر می‌شه دیگه خیلی دیر
3106,آن دوست که من دارم وان یار که من دانم سعدی
3107,فاک
3108,مرد اقدام و تحول از هیچ تلاش و تکاپویی برای حل مشکلات اقشار ضعیف و آسیب‌پذیر فروگذار نخواهد کرد اقدام و تحول محسن رض
3109,اقتصاد قدرتمند همان اقتصادی است که در آن پدر شرمنده فرزندانش نباشد همان اقتصادی است که در آن مرد شرمنده همسرش نباشد ه
3110,اقتصاد پادگان یا دادگاه نیست اما جای فلسفه بافی بازی هم نیست آقا محسن ایران اقدام و تحول محسن رضایی
3111,فاک دوباره انها رو تگ کردم
3112,سید مظلومان آمد رئیسی متشکریم
3113,شاید بیبی فیسی من اصلا بیبی فیس نیستم
3114,مدیر و اسپانسر اصلی پرسپولیس همین سلطانیفر و آذری جهرمی هستن و الا چه دلیلی داره تیم حکومتی از مجیدی به خاطر اظهار نظر
3115,دولتی مردمیایرانی قویبا تأمین اشتغال پایدار رئیسی متشکریم
3116,بیا تا جهان را به بد نسپریمبه کوشش همه دست نیکی بریم فردوسی
3117,صلاحیت رد بشه ایران قیامت میشه
3118,سرباز ایران آمد آقا محسن ایران محسن رضایی اقدام و تحول
3119,داش ازاون خواهرا بما چیزی نرسه صددرصد حرامه توجهنمم باچوب منتظرتن ازمن گفتن‍
